ano,mes,data,regiao,uf,municipio,rodovia,tipo_acidente,condicao_climatica,periodo_dia,acidentes,feridos,obitos,veiculos_envolvidos,nivel_gravidade
2015,1,2015-01-01,Centro-Oeste,GO,Goiânia,BR-482,Tombamento,Ensolarado,Madrugada,19,11,1,46,Moderado
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,BR-852,Atropelamento,Ensolarado,Madrugada,22,20,2,35,Grave
2015,1,2015-01-01,Centro-Oeste,GO,Aparecida de Goiânia,BR-705,Saída de pista,Ensolarado,Tarde,17,8,1,34,Moderado
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,BR-184,Capotamento,Ensolarado,Madrugada,15,15,1,29,Moderado
2015,1,2015-01-01,Centro-Oeste,MT,Cuiabá,BR-461,Saída de pista,Nublado,Tarde,16,7,2,29,Moderado
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,BR-841,Saída de pista,Ensolarado,Tarde,13,14,1,17,Moderado
2015,1,2015-01-01,Centro-Oeste,MS,Campo Grande,BR-251,Tombamento,Chuva,Noite,28,24,1,41,Moderado
2015,1,2015-01-01,Sudeste,SP,São Paulo,BR-321,Saída de pista,Ensolarado,Madrugada,22,12,0,35,Leve
2015,1,2015-01-01,Sudeste,SP,São Paulo,BR-782,Capotamento,Chuva,Madrugada,12,8,1,21,Moderado
2015,1,2015-01-01,Sudeste,SP,Campinas,BR-485,Atropelamento,Chuva,Tarde,23,29,1,28,Moderado
2015,1,2015-01-01,Sudeste,SP,Campinas,BR-708,Saída de pista,Nublado,Madrugada,24,14,0,42,Leve
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,BR-153,Capotamento,Ensolarado,Noite,19,12,1,25,Moderado
2015,1,2015-01-01,Sudeste,SP,Ribeirão Preto,BR-865,Tombamento,Ensolarado,Noite,15,6,2,15,Moderado
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,BR-958,Tombamento,Chuva,Tarde,20,11,0,46,Leve
2015,1,2015-01-01,Sudeste,RJ,Rio de Janeiro,BR-61,Atropelamento,Ensolarado,Manhã,14,9,0,17,Leve
2015,1,2015-01-01,Sudeste,RJ,Niterói,BR-607,Tombamento,Chuva,Tarde,21,6,0,41,Leve
2015,1,2015-01-01,Sudeste,RJ,Niterói,BR-82,Colisão,Chuva,Tarde,25,16,2,31,Grave
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,BR-247,Colisão,Neblina,Manhã,19,15,0,29,Moderado
2015,1,2015-01-01,Sudeste,RJ,Nova Iguaçu,BR-159,Tombamento,Ensolarado,Madrugada,13,9,1,21,Moderado
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,BR-722,Saída de pista,Ensolarado,Madrugada,20,12,0,33,Leve
2015,1,2015-01-01,Sudeste,RJ,Petrópolis,BR-851,Colisão,Chuva,Tarde,32,26,1,46,Moderado
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,BR-28,Colisão,Neblina,Noite,18,8,1,26,Moderado
2015,1,2015-01-01,Sudeste,MG,Belo Horizonte,BR-129,Atropelamento,Ensolarado,Manhã,17,14,0,25,Leve
2015,1,2015-01-01,Sudeste,MG,Uberlândia,BR-905,Atropelamento,Chuva,Tarde,27,20,0,49,Moderado
2015,1,2015-01-01,Sudeste,MG,Uberlândia,BR-824,Tombamento,Chuva,Tarde,31,18,1,54,Moderado
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,BR-933,Tombamento,Ensolarado,Tarde,18,14,0,33,Leve
2015,1,2015-01-01,Sudeste,MG,Juiz de Fora,BR-745,Atropelamento,Ensolarado,Manhã,23,26,2,27,Grave
2015,1,2015-01-01,Sudeste,ES,Vitória,BR-992,Saída de pista,Ensolarado,Tarde,14,9,0,29,Leve
2015,1,2015-01-01,Sudeste,ES,Vitória,BR-768,Atropelamento,Ensolarado,Manhã,19,14,1,22,Moderado
2015,1,2015-01-01,Sudeste,ES,Vila Velha,BR-919,Colisão,Ensolarado,Noite,20,12,0,34,Leve
2015,1,2015-01-01,Sudeste,ES,Vila Velha,BR-412,Atropelamento,Chuva,Tarde,20,15,0,43,Moderado
2015,1,2015-01-01,Sudeste,ES,Serra,BR-436,Atropelamento,Ensolarado,Manhã,20,15,0,39,Moderado
2015,1,2015-01-01,Sudeste,ES,Serra,BR-256,Colisão,Ensolarado,Noite,16,12,1,23,Moderado
2015,1,2015-01-01,Sul,PR,Curitiba,BR-620,Tombamento,Ensolarado,Noite,20,11,1,23,Moderado
2015,1,2015-01-01,Sul,PR,Curitiba,BR-130,Colisão,Neblina,Manhã,22,19,0,40,Moderado
2015,1,2015-01-01,Sul,PR,Londrina,BR-479,Tombamento,Ensolarado,Madrugada,14,9,0,27,Leve
2015,1,2015-01-01,Sul,PR,Londrina,BR-271,Colisão,Ensolarado,Manhã,13,9,1,20,Moderado
2015,1,2015-01-01,Sul,SC,Florianópolis,BR-855,Capotamento,Chuva,Tarde,27,14,0,49,Leve
2015,1,2015-01-01,Sul,SC,Florianópolis,BR-93,Saída de pista,Ensolarado,Madrugada,16,19,0,22,Moderado
2015,1,2015-01-01,Sul,SC,Joinville,BR-194,Capotamento,Ensolarado,Noite,13,6,0,21,Leve
2015,1,2015-01-01,Sul,SC,Joinville,BR-308,Colisão,Chuva,Tarde,19,14,1,37,Moderado
2015,1,2015-01-01,Sul,RS,Porto Alegre,BR-528,Capotamento,Ensolarado,Manhã,19,16,0,42,Moderado
2015,1,2015-01-01,Sul,RS,Porto Alegre,BR-480,Tombamento,Ensolarado,Manhã,23,23,1,40,Moderado
2015,1,2015-01-01,Sul,RS,Caxias do Sul,BR-763,Saída de pista,Neblina,Manhã,14,7,0,24,Leve
2015,1,2015-01-01,Sul,RS,Caxias do Sul,BR-29,Capotamento,Neblina,Tarde,20,8,0,28,Leve
2015,2,2015-02-01,Norte,AM,Manaus,BR-651,Tombamento,Ensolarado,Madrugada,21,14,0,42,Leve
2015,2,2015-02-01,Norte,AM,Manaus,BR-695,Atropelamento,Chuva,Tarde,27,15,2,31,Grave
2015,2,2015-02-01,Norte,PA,Belém,BR-344,Colisão,Ensolarado,Noite,22,17,0,34,Moderado
2015,2,2015-02-01,Norte,PA,Belém,BR-173,Capotamento,Ensolarado,Madrugada,18,14,0,20,Leve
2015,2,2015-02-01,Norte,PA,Santarém,BR-858,Tombamento,Ensolarado,Manhã,12,8,0,13,Leve
2015,2,2015-02-01,Norte,PA,Santarém,BR-162,Saída de pista,Nublado,Manhã,10,7,1,10,Moderado
2015,2,2015-02-01,Norte,RO,Porto Velho,BR-976,Capotamento,Nublado,Madrugada,17,14,1,22,Moderado
2015,2,2015-02-01,Norte,RO,Porto Velho,BR-976,Saída de pista,Nublado,Tarde,19,15,0,35,Moderado
2015,2,2015-02-01,Norte,TO,Palmas,BR-201,Colisão,Neblina,Madrugada,17,12,0,27,Leve
2015,2,2015-02-01,Norte,TO,Palmas,BR-458,Tombamento,Nublado,Tarde,22,19,1,40,Moderado
2015,2,2015-02-01,Nordeste,BA,Salvador,BR-256,Tombamento,Nublado,Noite,18,12,0,27,Leve
2015,2,2015-02-01,Nordeste,BA,Salvador,BR-557,Saída de pista,Chuva,Manhã,24,12,0,41,Leve
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,BR-615,Colisão,Nublado,Noite,24,18,1,33,Moderado
2015,2,2015-02-01,Nordeste,BA,Feira de Santana,BR-215,Atropelamento,Chuva,Tarde,21,19,1,23,Moderado
2015,2,2015-02-01,Nordeste,PE,Recife,BR-645,Tombamento,Ensolarado,Madrugada,15,12,1,22,Moderado
2015,2,2015-02-01,Nordeste,PE,Recife,BR-130,Saída de pista,Chuva,Madrugada,29,20,1,36,Moderado
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,BR-428,Colisão,Ensolarado,Madrugada,25,12,0,53,Leve
2015,2,2015-02-01,Nordeste,PE,Jaboatão dos Guararapes,BR-416,Saída de pista,Ensolarado,Noite,22,20,0,50,Moderado
2015,2,2015-02-01,Nordeste,CE,Fortaleza,BR-496,Tombamento,Nublado,Madrugada,23,19,0,50,Moderado
2015,2,2015-02-01,Nordeste,CE,Fortaleza,BR-408,Atropelamento,Neblina,Manhã,27,20,2,43,Grave
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,BR-507,Atropelamento,Chuva,Madrugada,24,26,0,48,Moderado
2015,2,2015-02-01,Nordeste,CE,Juazeiro do Norte,BR-841,Capotamento,Nublado,Noite,11,9,0,14,Leve
2015,2,2015-02-01,Nordeste,MA,São Luís,BR-842,Saída de pista,Chuva,Tarde,21,16,0,40,Moderado
2015,2,2015-02-01,Nordeste,MA,São Luís,BR-77,Colisão,Nublado,Madrugada,19,14,2,31,Moderado
2015,2,2015-02-01,Nordeste,PB,João Pessoa,BR-79,Colisão,Ensolarado,Noite,18,14,1,27,Moderado
2015,2,2015-02-01,Nordeste,PB,João Pessoa,BR-682,Tombamento,Nublado,Noite,13,13,0,23,Leve
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,BR-228,Capotamento,Ensolarado,Tarde,19,13,1,40,Moderado
2015,2,2015-02-01,Centro-Oeste,DF,Brasília,BR-742,Saída de pista,Ensolarado,Tarde,18,8,0,34,Leve
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,BR-180,Saída de pista,Nublado,Manhã,13,9,0,23,Leve
2015,2,2015-02-01,Centro-Oeste,GO,Goiânia,BR-516,Atropelamento,Ensolarado,Tarde,10,7,0,18,Leve
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,BR-625,Saída de pista,Ensolarado,Noite,15,9,0,26,Leve
2015,2,2015-02-01,Centro-Oeste,GO,Aparecida de Goiânia,BR-802,Tombamento,Chuva,Tarde,22,14,0,28,Leve
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,BR-788,Tombamento,Ensolarado,Madrugada,18,13,0,29,Leve
2015,2,2015-02-01,Centro-Oeste,MT,Cuiabá,BR-723,Atropelamento,Chuva,Tarde,24,22,0,28,Moderado
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,BR-824,Saída de pista,Nublado,Madrugada,20,10,0,33,Leve
2015,2,2015-02-01,Centro-Oeste,MS,Campo Grande,BR-543,Colisão,Chuva,Manhã,21,13,0,41,Leve
2015,2,2015-02-01,Sudeste,SP,São Paulo,BR-64,Saída de pista,Nublado,Tarde,21,9,1,44,Moderado
2015,2,2015-02-01,Sudeste,SP,São Paulo,BR-965,Tombamento,Nublado,Madrugada,14,12,1,17,Moderado
2015,2,2015-02-01,Sudeste,SP,Campinas,BR-677,Atropelamento,Nublado,Tarde,10,9,0,23,Leve
2015,2,2015-02-01,Sudeste,SP,Campinas,BR-804,Capotamento,Chuva,Manhã,20,13,1,32,Moderado
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,BR-602,Saída de pista,Ensolarado,Noite,12,7,1,20,Moderado
2015,2,2015-02-01,Sudeste,SP,Ribeirão Preto,BR-233,Capotamento,Ensolarado,Noite,17,8,1,21,Moderado
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,BR-197,Capotamento,Nublado,Tarde,18,7,0,32,Leve
2015,2,2015-02-01,Sudeste,RJ,Rio de Janeiro,BR-991,Saída de pista,Ensolarado,Madrugada,12,4,1,12,Moderado
2015,2,2015-02-01,Sudeste,RJ,Niterói,BR-256,Tombamento,Neblina,Noite,24,20,1,47,Moderado
2015,2,2015-02-01,Sudeste,RJ,Niterói,BR-495,Capotamento,Ensolarado,Manhã,12,10,0,15,Leve
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,BR-182,Capotamento,Chuva,Tarde,30,23,0,57,Moderado
2015,2,2015-02-01,Sudeste,RJ,Nova Iguaçu,BR-883,Atropelamento,Chuva,Manhã,17,11,0,28,Leve
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,BR-57,Saída de pista,Ensolarado,Manhã,17,13,0,26,Leve
2015,2,2015-02-01,Sudeste,RJ,Petrópolis,BR-249,Tombamento,Ensolarado,Tarde,16,11,1,28,Moderado
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,BR-655,Capotamento,Chuva,Noite,21,11,1,35,Moderado
2015,2,2015-02-01,Sudeste,MG,Belo Horizonte,BR-905,Saída de pista,Nublado,Noite,14,7,1,21,Moderado
2015,2,2015-02-01,Sudeste,MG,Uberlândia,BR-590,Saída de pista,Chuva,Manhã,23,7,1,36,Moderado
2015,2,2015-02-01,Sudeste,MG,Uberlândia,BR-17,Capotamento,Ensolarado,Manhã,21,16,0,33,Moderado
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,BR-724,Capotamento,Chuva,Tarde,25,27,0,43,Moderado
2015,2,2015-02-01,Sudeste,MG,Juiz de Fora,BR-741,Colisão,Ensolarado,Noite,13,8,0,14,Leve
2015,2,2015-02-01,Sudeste,ES,Vitória,BR-39,Saída de pista,Chuva,Tarde,27,15,0,45,Moderado
2015,2,2015-02-01,Sudeste,ES,Vitória,BR-732,Tombamento,Chuva,Noite,32,17,0,41,Moderado
2015,2,2015-02-01,Sudeste,ES,Vila Velha,BR-325,Capotamento,Chuva,Manhã,22,20,1,33,Moderado
2015,2,2015-02-01,Sudeste,ES,Vila Velha,BR-167,Saída de pista,Ensolarado,Tarde,18,20,0,23,Moderado
2015,2,2015-02-01,Sudeste,ES,Serra,BR-932,Atropelamento,Chuva,Manhã,31,14,1,44,Moderado
2015,2,2015-02-01,Sudeste,ES,Serra,BR-794,Colisão,Ensolarado,Madrugada,14,13,0,24,Leve
2015,2,2015-02-01,Sul,PR,Curitiba,BR-879,Atropelamento,Chuva,Tarde,27,17,2,38,Grave
2015,2,2015-02-01,Sul,PR,Curitiba,BR-37,Colisão,Ensolarado,Manhã,17,11,0,27,Leve
2015,2,2015-02-01,Sul,PR,Londrina,BR-325,Capotamento,Nublado,Noite,14,6,2,33,Moderado
2015,2,2015-02-01,Sul,PR,Londrina,BR-815,Saída de pista,Nublado,Madrugada,14,7,2,21,Moderado
2015,2,2015-02-01,Sul,SC,Florianópolis,BR-370,Atropelamento,Chuva,Tarde,26,21,1,43,Moderado
2015,2,2015-02-01,Sul,SC,Florianópolis,BR-697,Colisão,Neblina,Tarde,25,23,0,41,Moderado
2015,2,2015-02-01,Sul,SC,Joinville,BR-623,Tombamento,Chuva,Madrugada,16,13,0,23,Leve
2015,2,2015-02-01,Sul,SC,Joinville,BR-540,Saída de pista,Ensolarado,Tarde,12,11,0,21,Leve
2015,2,2015-02-01,Sul,RS,Porto Alegre,BR-963,Atropelamento,Neblina,Noite,24,19,1,36,Moderado
2015,2,2015-02-01,Sul,RS,Porto Alegre,BR-66,Saída de pista,Neblina,Manhã,26,19,0,45,Moderado
2015,2,2015-02-01,Sul,RS,Caxias do Sul,BR-726,Atropelamento,Ensolarado,Noite,18,18,0,22,Moderado
2015,2,2015-02-01,Sul,RS,Caxias do Sul,BR-461,Saída de pista,Nublado,Tarde,14,10,0,17,Leve
2015,3,2015-03-01,Norte,AM,Manaus,BR-475,Capotamento,Nublado,Manhã,17,17,0,32,Moderado
2015,3,2015-03-01,Norte,AM,Manaus,BR-155,Colisão,Ensolarado,Manhã,16,11,1,29,Moderado
2015,3,2015-03-01,Norte,PA,Belém,BR-26,Atropelamento,Ensolarado,Tarde,19,9,1,29,Moderado
2015,3,2015-03-01,Norte,PA,Belém,BR-652,Colisão,Neblina,Noite,16,12,0,26,Leve
2015,3,2015-03-01,Norte,PA,Santarém,BR-353,Tombamento,Ensolarado,Madrugada,19,11,0,27,Leve
2015,3,2015-03-01,Norte,PA,Santarém,BR-417,Saída de pista,Nublado,Tarde,16,13,0,23,Leve
2015,3,2015-03-01,Norte,RO,Porto Velho,BR-758,Capotamento,Nublado,Tarde,23,16,0,40,Moderado
2015,3,2015-03-01,Norte,RO,Porto Velho,BR-703,Tombamento,Ensolarado,Tarde,15,14,0,19,Leve
2015,3,2015-03-01,Norte,TO,Palmas,BR-957,Saída de pista,Chuva,Noite,25,21,0,48,Moderado
2015,3,2015-03-01,Norte,TO,Palmas,BR-147,Colisão,Nublado,Madrugada,18,12,0,35,Leve
2015,3,2015-03-01,Nordeste,BA,Salvador,BR-382,Atropelamento,Ensolarado,Manhã,20,19,1,30,Moderado
2015,3,2015-03-01,Nordeste,BA,Salvador,BR-257,Capotamento,Ensolarado,Tarde,24,12,2,36,Moderado
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,BR-702,Tombamento,Ensolarado,Manhã,14,8,0,28,Leve
2015,3,2015-03-01,Nordeste,BA,Feira de Santana,BR-430,Saída de pista,Ensolarado,Noite,13,7,0,25,Leve
2015,3,2015-03-01,Nordeste,PE,Recife,BR-626,Tombamento,Neblina,Tarde,21,9,1,34,Moderado
2015,3,2015-03-01,Nordeste,PE,Recife,BR-506,Saída de pista,Neblina,Tarde,21,13,0,23,Leve
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,BR-729,Colisão,Ensolarado,Noite,24,17,1,38,Moderado
2015,3,2015-03-01,Nordeste,PE,Jaboatão dos Guararapes,BR-866,Capotamento,Ensolarado,Tarde,20,15,0,30,Moderado
2015,3,2015-03-01,Nordeste,CE,Fortaleza,BR-508,Saída de pista,Ensolarado,Tarde,15,9,1,17,Moderado
2015,3,2015-03-01,Nordeste,CE,Fortaleza,BR-433,Colisão,Ensolarado,Madrugada,22,19,0,31,Moderado
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,BR-936,Saída de pista,Ensolarado,Madrugada,21,11,1,31,Moderado
2015,3,2015-03-01,Nordeste,CE,Juazeiro do Norte,BR-756,Colisão,Ensolarado,Tarde,15,10,0,27,Leve
2015,3,2015-03-01,Nordeste,MA,São Luís,BR-266,Tombamento,Chuva,Tarde,26,25,1,43,Moderado
2015,3,2015-03-01,Nordeste,MA,São Luís,BR-668,Capotamento,Neblina,Noite,13,7,0,12,Leve
2015,3,2015-03-01,Nordeste,PB,João Pessoa,BR-113,Atropelamento,Ensolarado,Madrugada,21,15,0,40,Moderado
2015,3,2015-03-01,Nordeste,PB,João Pessoa,BR-203,Colisão,Chuva,Manhã,22,22,0,37,Moderado
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,BR-287,Capotamento,Chuva,Tarde,25,15,1,46,Moderado
2015,3,2015-03-01,Centro-Oeste,DF,Brasília,BR-611,Colisão,Ensolarado,Tarde,15,10,0,16,Leve
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,BR-632,Colisão,Ensolarado,Tarde,14,6,1,15,Moderado
2015,3,2015-03-01,Centro-Oeste,GO,Goiânia,BR-62,Tombamento,Ensolarado,Tarde,17,19,1,34,Moderado
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,BR-459,Colisão,Nublado,Manhã,9,7,0,16,Leve
2015,3,2015-03-01,Centro-Oeste,GO,Aparecida de Goiânia,BR-829,Atropelamento,Chuva,Noite,23,10,0,44,Leve
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,BR-778,Colisão,Ensolarado,Noite,21,11,1,25,Moderado
2015,3,2015-03-01,Centro-Oeste,MT,Cuiabá,BR-139,Capotamento,Chuva,Madrugada,21,14,0,39,Leve
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,BR-553,Saída de pista,Nublado,Tarde,21,12,0,34,Leve
2015,3,2015-03-01,Centro-Oeste,MS,Campo Grande,BR-717,Capotamento,Nublado,Madrugada,15,9,0,30,Leve
2015,3,2015-03-01,Sudeste,SP,São Paulo,BR-364,Saída de pista,Ensolarado,Tarde,20,7,0,41,Leve
2015,3,2015-03-01,Sudeste,SP,São Paulo,BR-109,Atropelamento,Nublado,Manhã,21,13,1,36,Moderado
2015,3,2015-03-01,Sudeste,SP,Campinas,BR-834,Saída de pista,Ensolarado,Tarde,14,4,1,33,Moderado
2015,3,2015-03-01,Sudeste,SP,Campinas,BR-266,Tombamento,Ensolarado,Noite,7,2,0,14,Leve
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,BR-953,Capotamento,Ensolarado,Madrugada,21,14,0,26,Leve
2015,3,2015-03-01,Sudeste,SP,Ribeirão Preto,BR-27,Colisão,Nublado,Noite,17,13,2,24,Moderado
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,BR-551,Atropelamento,Nublado,Tarde,18,15,0,27,Moderado
2015,3,2015-03-01,Sudeste,RJ,Rio de Janeiro,BR-557,Saída de pista,Chuva,Manhã,22,8,0,27,Leve
2015,3,2015-03-01,Sudeste,RJ,Niterói,BR-565,Tombamento,Ensolarado,Noite,12,10,0,24,Leve
2015,3,2015-03-01,Sudeste,RJ,Niterói,BR-472,Atropelamento,Nublado,Noite,17,16,0,23,Moderado
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,BR-766,Capotamento,Ensolarado,Manhã,25,23,0,43,Moderado
2015,3,2015-03-01,Sudeste,RJ,Nova Iguaçu,BR-687,Saída de pista,Neblina,Madrugada,20,8,0,46,Leve
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,BR-661,Saída de pista,Chuva,Tarde,21,19,1,30,Moderado
2015,3,2015-03-01,Sudeste,RJ,Petrópolis,BR-576,Capotamento,Neblina,Noite,21,11,1,29,Moderado
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,BR-979,Saída de pista,Chuva,Tarde,30,16,0,49,Moderado
2015,3,2015-03-01,Sudeste,MG,Belo Horizonte,BR-294,Atropelamento,Ensolarado,Tarde,16,6,1,23,Moderado
2015,3,2015-03-01,Sudeste,MG,Uberlândia,BR-253,Tombamento,Ensolarado,Manhã,19,13,0,27,Leve
2015,3,2015-03-01,Sudeste,MG,Uberlândia,BR-384,Colisão,Ensolarado,Tarde,14,7,1,22,Moderado
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,BR-502,Tombamento,Chuva,Madrugada,23,18,0,30,Moderado
2015,3,2015-03-01,Sudeste,MG,Juiz de Fora,BR-491,Capotamento,Ensolarado,Madrugada,21,15,0,43,Moderado
2015,3,2015-03-01,Sudeste,ES,Vitória,BR-818,Colisão,Ensolarado,Manhã,18,15,0,28,Moderado
2015,3,2015-03-01,Sudeste,ES,Vitória,BR-62,Saída de pista,Neblina,Tarde,15,19,0,24,Moderado
2015,3,2015-03-01,Sudeste,ES,Vila Velha,BR-350,Capotamento,Nublado,Tarde,16,8,0,34,Leve
2015,3,2015-03-01,Sudeste,ES,Vila Velha,BR-592,Colisão,Nublado,Noite,22,11,1,51,Moderado
2015,3,2015-03-01,Sudeste,ES,Serra,BR-63,Capotamento,Nublado,Noite,20,9,1,35,Moderado
2015,3,2015-03-01,Sudeste,ES,Serra,BR-379,Tombamento,Nublado,Tarde,17,8,0,16,Leve
2015,3,2015-03-01,Sul,PR,Curitiba,BR-826,Tombamento,Ensolarado,Tarde,22,13,0,27,Leve
2015,3,2015-03-01,Sul,PR,Curitiba,BR-524,Colisão,Ensolarado,Madrugada,20,8,0,44,Leve
2015,3,2015-03-01,Sul,PR,Londrina,BR-35,Saída de pista,Ensolarado,Manhã,19,18,0,25,Moderado
2015,3,2015-03-01,Sul,PR,Londrina,BR-221,Colisão,Nublado,Madrugada,15,13,1,16,Moderado
2015,3,2015-03-01,Sul,SC,Florianópolis,BR-54,Colisão,Nublado,Noite,18,22,0,27,Moderado
2015,3,2015-03-01,Sul,SC,Florianópolis,BR-692,Capotamento,Ensolarado,Tarde,20,19,0,32,Moderado
2015,3,2015-03-01,Sul,SC,Joinville,BR-409,Colisão,Nublado,Manhã,17,9,0,30,Leve
2015,3,2015-03-01,Sul,SC,Joinville,BR-15,Capotamento,Nublado,Manhã,15,6,1,26,Moderado
2015,3,2015-03-01,Sul,RS,Porto Alegre,BR-968,Saída de pista,Ensolarado,Madrugada,15,10,0,23,Leve
2015,3,2015-03-01,Sul,RS,Porto Alegre,BR-192,Colisão,Nublado,Noite,21,17,0,39,Moderado
2015,3,2015-03-01,Sul,RS,Caxias do Sul,BR-660,Tombamento,Chuva,Madrugada,28,19,0,52,Moderado
